Power loading,Required,Allocated
33.9%,133333,142666.31
34.0%,133333,142666.31
34.1%,133333,142666.31
34.3%,133333,142666.31
34.4%,133333,142666.31
34.5%,133333,142666.31
34.7%,133333,142666.31
34.8%,133333,142666.31
34.9%,133333,142666.31
35.1%,133333,142666.31
35.2%,133333,142666.31
35.3%,133333,142666.31
35.5%,133333,142666.31
35.6%,133333,142666.31
35.7%,133333,142666.31
35.9%,133333,142666.31
36.0%,133333,142666.31
36.1%,133333,142666.31
36.3%,133333,142666.31
36.4%,133333,142666.31
36.5%,133333,142666.31
36.7%,133333,142666.31
36.8%,133333,142666.31
36.9%,133333,142666.31
37.1%,133333,142666.31
37.2%,133333,142666.31
37.3%,133333,142666.31
37.5%,133333,142666.31
37.6%,133333,142666.31
37.7%,133333,142666.31
37.8%,133333,142666.31
38.0%,133333,142666.31
38.1%,133333,142666.31
38.2%,133333,142666.31
38.4%,133333,142666.31
38.5%,133333,142666.31
38.6%,133333,142666.31
38.8%,133333,142666.31
38.9%,133333,142666.31
39.0%,133333,142666.31
39.2%,133333,142666.31
39.3%,133333,142666.31
39.4%,133333,142666.31
39.6%,133333,142666.31
39.7%,133333,142666.31
39.8%,133333,142666.31
40.0%,133333,142666.31
40.1%,133333,142666.31
40.2%,133333,142666.31
40.4%,133333,142666.31
40.5%,133333,142666.31
40.6%,133333,142666.31
40.8%,133333,142666.31
40.9%,133333,142666.31
41.0%,133333,142666.31
41.2%,133333,142666.31
41.3%,133333,142666.31
41.4%,133333,142666.31
41.5%,133333,142666.31
41.7%,133333,142666.31
41.8%,133333,142666.31
41.9%,133333,142666.31
42.1%,133333,142666.31
42.2%,133333,142666.31
42.3%,133333,142666.31
42.5%,133333,142666.31
42.6%,133333,142666.31
42.7%,133333,142666.31
42.9%,133333,142666.31
43.0%,133333,142666.31
43.1%,133333,142666.31
43.3%,133333,142666.31
43.4%,133333,142666.31
43.5%,133333,142666.31
43.7%,133333,142666.31
43.8%,133333,142666.31
43.9%,133333,142666.31
44.1%,133333,142666.31
44.2%,133333,142666.31
44.3%,133333,142666.31
44.5%,133333,142666.31
44.6%,133333,142666.31
44.7%,133333,142666.31
44.9%,133333,142666.31
45.0%,133333,142666.31
45.1%,133333,142666.31
45.3%,133333,142666.31
45.4%,133333,142666.31
45.5%,133333,142666.31
45.6%,133333,142666.31
45.8%,133333,142666.31
45.9%,133333,142666.31
46.0%,133333,142666.31
46.2%,133333,142666.31
46.3%,133333,142666.31
46.4%,133333,142666.31
46.6%,133333,142666.31
46.7%,133333,142666.31
46.8%,133333,142666.31
47.0%,133333,142666.31
47.1%,133333,142666.31
47.2%,133333,142666.31
47.4%,133333,142666.31
47.5%,133333,142666.31
47.6%,133333,142666.31
47.8%,133333,142666.31
47.9%,133333,142666.31
48.0%,133333,142666.31
48.2%,133333,142666.31
48.3%,133333,142666.31
48.4%,133333,142666.31
48.6%,133333,142666.31
48.7%,133333,142666.31
48.8%,133333,142666.31
49.0%,133333,142666.31
49.1%,133333,142666.31
49.2%,133333,142666.31
49.4%,133333,142666.31
49.5%,133333,142666.31
49.6%,133333,142666.31
49.7%,133333,142666.31
49.9%,133333,142666.31
50.0%,133333,142666.31
50.1%,133333,142666.31
50.3%,133333,142666.31
50.4%,133333,142666.31
50.5%,133333,142666.31
50.7%,133333,142666.31
50.8%,133333,142666.31
50.9%,133333,142666.31
51.1%,133333,142666.31
51.2%,133333,142666.31
51.3%,133333,142666.31
51.5%,133333,142666.31
51.6%,133333,142666.31
51.7%,133333,142666.31
51.9%,133333,142666.31
52.0%,133333,142666.31
52.1%,133333,142666.31
52.3%,133333,142666.31
52.4%,133333,142666.31
52.5%,133333,142666.31
52.7%,133333,142666.31
52.8%,133333,142666.31
52.9%,133333,142666.31
53.1%,133333,142666.31
53.2%,133333,142666.31
53.3%,133333,142666.31
53.5%,133333,142666.31
53.6%,133333,142666.31
53.7%,133333,142666.31
53.8%,133333,142666.31
54.0%,133333,142666.31
54.1%,133333,142666.31
54.2%,133333,142666.31
54.4%,133333,142666.31
54.5%,133333,142666.31
54.6%,133333,142666.31
54.8%,133333,142666.31
54.9%,133333,142666.31
55.0%,133333,142666.31
55.2%,133333,142666.31
55.3%,133333,142666.31
55.4%,133333,142666.31
55.6%,133333,142666.31
55.7%,133333,142666.31
55.8%,133333,142666.31
56.0%,133333,146008
56.1%,133333,142666.31
56.2%,133333,142666.31
56.4%,133333,142808
56.5%,133333,142666.31
56.6%,133333,142666.31
56.8%,133333,142808
56.9%,133333,142666.31
57.0%,133333,142808
57.2%,133333,142808
57.3%,133333,142808
57.4%,133333,142666.31
57.6%,133333,142666.31
57.7%,133333,142666.31
57.8%,133333,142666.31
57.9%,133333,142666.31
58.1%,133333,142666.31
58.2%,133333,142666.31
58.3%,133333,142666.31
58.5%,133333,142666.31
58.6%,133333,142666.31
58.7%,133333,142666.31
58.9%,133333,142666.31
59.0%,133333,142666.31
59.1%,133333,142666.31
59.3%,133333,142666.31
59.4%,133333,142666.31
59.5%,133333,142666.31
59.7%,133333,142666.31
59.8%,133333,142666.31
59.9%,133333,142666.31
60.1%,133333,142666.31
60.2%,133333,142666.31
60.3%,133333,142666.31
60.5%,133333,142666.31
60.6%,133333,142666.31
60.7%,133333,142666.31
60.9%,133333,142666.31
61.0%,133333,142666.31
61.1%,133333,142666.31
61.3%,133333,142666.31
61.4%,133333,142666.31
61.5%,133333,142666.31
61.7%,133333,142666.31
61.8%,133333,142666.31
61.9%,133333,142666.31
62.0%,133333,142666.31
62.2%,133333,142666.31
62.3%,133333,142666.31
62.4%,133333,142666.31
62.6%,133333,142666.31
62.7%,133333,142666.31
62.8%,133333,142666.31
63.0%,133333,142666.31
63.1%,133333,142666.31
63.2%,133333,142666.31
63.4%,133333,142666.31
63.5%,133333,142666.31
63.6%,133333,142666.31
63.8%,133333,142666.31
63.9%,133333,142666.31
64.0%,133333,142666.31
64.2%,133333,142666.31
64.3%,133333,142666.31
64.4%,133333,142666.31
64.6%,133333,142666.31
64.7%,133333,142666.31
64.8%,133333,142666.31
65.0%,133333,142666.31
65.1%,133333,142666.31
65.2%,133333,142666.31
65.4%,133333,142666.31
65.5%,133333,142666.31
65.6%,133333,142666.31
65.7%,133333,142666.31
65.9%,133333,142666.31
66.0%,133333,142666.31
66.1%,133333,142666.31
66.3%,133333,142666.31
66.4%,133333,142666.31
66.5%,133333,142666.31
66.7%,133333,142666.31
66.8%,133333,142666.31
66.9%,133333,142666.31
67.1%,133333,142666.31
67.2%,133333,142666.31
67.3%,133333,142666.31
67.5%,133333,142666.31
67.6%,133333,142666.31
67.7%,133333,142666.31
67.9%,133333,142666.31
68.0%,133333,142666.31
68.1%,133333,142666.31
68.3%,133333,142666.31
68.4%,133333,142666.31
68.5%,133333,142666.31
68.7%,133333,142666.31
68.8%,133333,142666.31
68.9%,133333,142666.31
69.1%,133333,142666.31
69.2%,133333,142666.31
69.3%,133333,142666.31
69.5%,133333,142666.31
69.6%,133333,142666.31
69.7%,133333,142666.31
69.8%,133333,142666.31
70.0%,133333,142666.31
70.1%,133333,142666.31
70.2%,133333,142666.31
70.4%,133333,142666.31
70.5%,133333,142666.31
70.6%,133333,142666.31
70.8%,133333,142666.31
70.9%,133333,142666.31
