Water demand,System deficit,Junction 1 deficit,Junction 2 deficit,Junction 3 deficit,Junction 5 deficit,Junction 6 deficit,Junction 7 deficit,Junction 8 deficit,Junction 9 deficit,Junction 10 deficit,Junction 13 deficit,Junction 14 deficit,Junction 15 deficit,Junction 16 deficit,Junction 18 deficit,Junction 19 deficit,Junction 28 deficit
0.372453,0.001764187,2.10E-05,0.000193625,0.000197813,0,0,8.42E-05,0.000193875,0,0,0,0.00038725,0.000265312,6.74E-05,0,0.000353687,0
0.377676094,0.001612593,5.83E-05,0.000222175,9.72E-05,3.76E-05,0,0,0.000282518,0,0.000210945,0,0.00044435,0,0,0,0,0.000259521
0.382899188,0.001630111,9.56E-05,0,0,0,0.000128822,0,0.000371162,6.92E-06,0,0.000450133,0,0,0,0.000227059,0.000350429,0
0.388122282,0.002419573,0.000132866,0,0,0.000103913,0,0.00013969,0.000459806,0.000195566,0,0,0,0.00034208,0.000111752,0.000933901,0,0
0.393345376,0.002063598,0.000170144,0,0,1.50E-05,0,0,0,0.000384213,0.000190967,0.000386515,0,0,0,0,0.00034717,0.000569584
0.39856847,0.000880097,0.000207422,0,0,0,0.000210477,0,0,0,0,0,0,6.77E-05,0,0.00039446,0,0
0.403791564,0.001299612,0,0,0,8.13E-05,7.49E-05,0.000195161,0,0,0,0.000322898,0,0,0.000156129,0,0.000343912,0.000125251
0.409014658,0.001571493,0,0,0.000469965,0,0,5.09E-05,0,0,0.00017099,0,0,0,0,0,0,0.000879647
0.414237752,0.001860826,0,0,0.000369335,0,0,0,0,0.000162238,0,0.00025928,0,0.000144505,2.30E-05,0.000561861,0.000340653,0
0.419460846,0.002464651,0,0,0.000268705,5.87E-05,0.000156591,0,1.51E-05,0.000350886,0.000483192,0,0,0.000495615,0.000200506,0,0,0.000435314
0.42468394,0.001952449,0,0,0.000168075,0,2.10E-05,0.000106362,0.000103747,0,0.000151013,0.000195663,0,0.000846725,0,2.24E-05,0.000337395,0
0.429907034,0.001114618,0,1.94E-05,6.74E-05,0,0,0,0.000192391,0,0,0,3.88E-05,0,6.73E-05,0.000729262,0,0
0.435130128,0.002374046,0,4.79E-05,0,3.62E-05,0.000238246,0,0.000281034,0,0.000463215,0.000132045,9.59E-05,0,0,0,0.000334136,0.000745377
0.440353222,0.001330841,1.74E-05,7.65E-05,0,0,0.000102704,0.000161834,0.000369678,0.000128911,0.000131035,0,0.000152994,0,0,0.000189821,0,0
0.445576316,0.003272464,5.46E-05,0.000105047,0,0.000102474,0,1.76E-05,0.000458321,0.000317558,0,6.84E-05,0.000210094,0.00029804,0.000111707,0.000896663,0.000330878,0.000301044
0.45079941,0.002640544,9.19E-05,0.000133597,0,0,0,0,0,0,0.000443237,0,0.000267195,0.00064915,0,0,0,0.00105544
0.456022504,0.00379665,0.000129202,0.000162148,0,0.000168796,0.000184359,0.000217305,0,0,0.000111057,4.81E-06,0.000324295,0,0,0.000357222,0.00032762,0.001809836
0.461245598,0.001997907,0.00016648,0.000190698,0.000440227,7.99E-05,4.88E-05,7.30E-05,0,0,0,0.000461282,0.000381396,0,0.000156084,0,0,0
0.466468692,0.002044305,0.000203758,0.000219248,0.000339597,0,0,0,0,9.56E-05,0.00042326,0,0.000438496,0,0,0,0.000324361,0
0.471691786,0.002333765,0.000241037,0,0.000238967,0,0.000266014,0,0,0.00028423,9.11E-05,0.000397665,0,0.000100465,2.29E-05,0.000524623,0,0.000166774
0.47691488,0.002778122,0,0,0.000138337,0,0.000130472,0.000128506,1.36E-05,0.000472877,0,0,0,0.000451575,0.000200461,0,0.000321102,0.00092117
0.482137974,0.003234035,0,0,3.77E-05,0.000212531,0,0,0.000102263,0,0.000403282,0,0,0.000802685,0,0,0,0.001675566
0.487361068,0.002253304,0,0,0,0.000123621,0,0,0.000190907,0,7.11E-05,0.00079052,0,0,6.73E-05,0.000692024,0.000317844,0
0.492584162,0.000830926,0,0,0,3.47E-05,0,0.000183977,0.000279551,6.23E-05,0,0.00027043,0,0,0,0,0,0
0.497807256,0.001541782,0,0,0,0,0,3.97E-05,0.000368194,0.000250903,0.000383305,0,0,0,0,0.000152583,0.000314585,3.25E-05
0.50303035,0.003388825,0,0,0,0,0.000429325,0,0.000456837,0.00043955,5.11E-05,0,0,0.000254,0.000111662,0.000859425,0,0.0007869
0.508253444,0.003667953,1.37E-05,0,0,0,0.000293783,0.000239449,0,0,0,0.000663285,0,0.00060511,0,0,0.000311327,0.001541296
0.513476538,0.002569795,5.10E-05,0,0.00041049,0.000167356,0.000158241,0,0,0,0.000363327,0.000143195,0,0.00095622,0,0.000319984,0,0
0.518699632,0.001512048,8.83E-05,1.65E-05,0.00030986,7.84E-05,2.27E-05,0.00043919,0,2.89E-05,3.11E-05,0,3.29E-05,0,0.000156039,0,0.000308068,0
0.523922726,0.000982323,0.000125538,4.50E-05,0.00020923,0,0,0.00029492,0,0.000217575,0,0,9.00E-05,0,0,0,0,0
0.52914582,0.003452512,0.000162816,7.36E-05,0.0001086,0,0,0.00015065,0,0.000406222,0.00034335,0.00053605,0.00014714,5.64E-05,2.29E-05,0.000487385,0.00030481,0.00065263
0.534368914,0.002575049,0.000200094,0.00010212,7.97E-06,0,0,6.38E-06,1.21E-05,0,1.12E-05,1.60E-05,0.00020424,0.000407535,0.000200416,0,0,0.001407026
0.539592008,0.002458545,0.000237373,0.00013067,0,0.000211091,0.000457093,0,0.000100779,0,0,0,0.000261341,0.000758645,0,0,0.000301551,0
0.544815102,0.003085123,0,0.000159221,0,0.000122182,0.000321551,0,0.000189423,0,0.000323372,0.000928905,0.000318441,0,6.72E-05,0.000654786,0,0
0.550038196,0.001952018,0,0.000187771,0,3.33E-05,0.000186009,0,0.000278066,0.000184248,0,0.000408815,0.000375542,0,0,0,0.000298293,0
0.55526129,0.002478604,0,0.000216321,0,0,5.05E-05,0.000405862,0.00036671,0.000372895,0,0,0.000432643,0,0,0.000115345,0,0.00051836
0.560484384,0.004213279,0,0,0.000481382,0,0,0.000261593,0.000455354,0,0.000303395,0,0,0.00020996,0.000111618,0.000822187,0.000295035,0.001272756
0.565707478,0.001860815,0,0,0.000380752,0,0,0.000117322,0,0,0,0.00080167,0,0.00056107,0,0,0,0
0.570930572,0.002214322,0,0,0.000280123,0.000165917,0,0,0,0,0,0.00028158,0,0.00091218,0,0.000282746,0.000291776,0
0.576153666,0.001341734,1.00E-05,0,0.000179492,7.70E-05,0.000484862,0,0,0.00015092,0.000283417,0,0,0,0.000155995,0,0,0
0.58137676,0.001487675,4.73E-05,0,7.89E-05,0,0.00034932,0,0,0.000339567,0,0,0,0,0,0,0.000288517,0.00038409
0.586599854,0.002596646,8.46E-05,0,0,0,0.000213778,0,0,0,0,0.000674435,0,1.24E-05,2.28E-05,0.000450147,0,0.001138486
0.591822948,0.00374309,0.000121874,0,0,0,7.82E-05,0.000372535,1.07E-05,0,0.00026344,0.000154345,0,0.000363495,0.000200372,0,0.000285259,0.001892882
0.597046042,0.001251818,0,0,0,0.000209652,0,0.000228265,9.93E-05,0,0,0,0,0.000714605,0,0,0,0
0.602269136,0.001673445,0.00019643,0,0,0.000120743,0,8.40E-05,0.000187939,0.000117593,0,0,0,0,6.72E-05,0.000617548,0.000282,0
0.60749223,0.001695766,0,1.35E-05,0,3.18E-05,0,0,0.000276582,0.00030624,0.000243462,0.0005472,2.71E-05,0,0,0,0,0.00024982
0.612715324,0.002602311,0.000270987,4.21E-05,0.000451645,0,0,0,0.000365226,0,0,2.71E-05,8.42E-05,0,0,7.81E-05,0.000278742,0.001004216
0.617938418,0.004214956,0,7.06E-05,0.000351015,0,0.000377088,0,0.000453869,0,0,0,0.000141286,0.00016592,0.000111573,0.000784949,0,0.001758612
0.623161512,0.003574586,0.000345543,9.92E-05,0.000250385,0,0.000241547,0.000483478,0,0,0.000223485,0.000940055,0.000198387,0.00051703,0,0,0.000275484,0
0.628384606,0.002760554,0,0.000127744,0.000149755,0.000164478,0.000106004,0.000339207,0,8.43E-05,0,0.000419965,0.000255487,0.00086814,0,0.000245508,0,0
0.6336077,0.0029776,0.0004201,0.000156294,4.91E-05,7.56E-05,0,0.000194938,0,0.000272913,0,0,0.000312587,0,0.00015595,0.00095235,0.000272225,0.00011555
0.638830794,0.002140212,0,0.000184844,0,0,0,5.07E-05,0,0.000461559,0.000203507,0,0.000369688,0,0,0,0,0.000869946
0.644053888,0.00375922,0,0.000213394,0,0,0,0,0,0,0,0.00081282,0.000426788,0,0,0.000412909,0.000268966,0.001624342
0.649276982,0.001591167,4.37E-05,0.000241944,0,0,0,0,9.17E-06,0,0,0.00029273,0.000483889,0.000319455,0.000200327,0,0,0
0.654500076,0.001881622,0,0,0,0.000208213,0.000404857,0,9.78E-05,5.09E-05,0.00018353,0,0,0.000670565,0,0,0.000265708,0
0.65972317,0.002860464,0.00011821,0.000299045,0,0.000119304,0.000269315,0.00045015,0.000186455,0.000239585,0,0,0.00059809,0,0,0.00058031,0,0
0.664946264,0.0035237,0,0,0.000421907,3.04E-05,0.000133773,0.00030588,0.000275098,0.000428232,0,0.000685585,0,0,0.000244704,0,0.000262449,0.000735676
0.670169358,0.003804268,0.000192766,0.000356145,0.000321277,0,0,0.00016161,0.000363742,0,0,0.000165495,0.000712291,0,0,4.09E-05,0,0.001490072
0.675392452,0.00262709,0,0,0.000220647,0,0,1.73E-05,0.000452385,0,0.000807935,0,0,0.00012188,0,0.000747711,0.000259191,0
0.680615546,0.002882515,0.000267323,0.000413246,0.000120017,0,0,0,0,1.76E-05,0.000475755,0,0.000826492,0.00047299,0.000289081,0,0,0
0.68583864,0.002378911,0,0,1.94E-05,0.000163039,0,0,0,0.000206257,0.000143575,0.00055835,0,0.0008241,0,0.00020827,0.000255932,0
0.691061734,0.004209356,0.000341879,0.000470346,0,7.41E-05,0.000432625,0,0,0.000394904,0,3.83E-05,0.000940693,0,0,0.000915112,0,0.000601406
0.696284828,0.002687686,0,1.06E-05,0,0,0.000297083,0.000416822,0,0,0,0,2.12E-05,0,0.000333458,0,0.000252674,0.001355802
0.701507922,0.002200136,0.000416436,0,0,0,0.000161542,0.000272553,0,0,0,0.000951205,0,0,2.27E-05,0.000375671,0,0
0.706731016,0.001839624,0,6.77E-05,0,0,2.60E-05,0.000128282,7.68E-06,0,0.00076798,0.000431115,0.000135432,0.000275415,0,0,0,0
0.71195411,0.002408991,0,0,0.0004928,0.000206774,0,0,9.63E-05,0.00017293,0.0004358,0,0,0.000626525,0.000377835,0,0,0
0.717177204,0.002898113,4.00E-05,0.000124816,0.00039217,0.000117864,0,0,0.000184971,0.000361577,0.00010362,0,0.000249633,0,6.71E-05,0.000543072,0.000246157,0.000467136
0.722400298,0.003372421,0,0,0.00029154,2.90E-05,0,0,0.000273614,0,0,0.00082397,0,0,0,0,0.000732809,0.001221532
0.727623392,0.002403582,0.000114546,0.000181917,0.00019091,0,0.000460394,0,0.000362258,0,0,0.00030388,0.000363834,0,0.000422212,3.63E-06,0,0
0.732846486,0.003076843,0,0,9.03E-05,0,0.000324852,0.000383495,0.000450901,0.000927518,0,0,0,7.78E-05,0.000111483,0.000710473,0,0
0.73806958,0.002731305,0.000189102,0.000239017,0,0,0.00018931,0.000239225,0,0,0.000728025,0,0.000478035,0.00042895,0,0,0.00023964,0
0.743292674,0.003879741,0,0,0,0.000161599,5.38E-05,9.50E-05,0,0,0.000395845,0.000696735,0,0.00078006,0.000466589,0.000171032,0.000726292,0.000332866
0.748515768,0.004302842,0.000263659,0.000296118,0,7.27E-05,0,0,0.000716832,0,6.37E-05,0.000176645,0.000592236,0,0.00015586,0.000877874,0,0.001087262
0.753738862,0.001841658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001841658
0.758961956,0.002863546,0.000338215,0.000353219,0,0,0,0,0.000894119,0,0,0,0.000706437,0,0,0.000338433,0.000233123,0
0.76418505,0.002321525,0,0,0,0,0.000488162,0,6.20E-06,0.000106275,0,0.0005695,0,0.000231375,0.000200237,0,0.000719775,0
0.769408144,0.004365334,0.000412772,0.000410319,0,0.000205334,0.00035262,0.000350167,0,0.000294922,0.00068807,4.94E-05,0.000820638,0.000582485,0,0,0,0.000198596
0.774631238,0.003954768,0,0,0,0.000116425,0.000217078,0.000205898,0.000183487,0.000483569,0.00035589,0,0,0.000933595,0,0.000505834,0,0.000952992
0.779854332,0.007109832,0.000487328,0.00046742,0,2.75E-05,8.15E-05,6.16E-05,0,0.000672216,2.37E-05,0.000962355,0.000934839,0,0.000244614,0.001212676,0.000226606,0.001707388
0.785077426,0.004356069,3.63E-05,7.69E-06,0,0,0,0,0.000360774,0.000860863,0,0.000442265,1.54E-05,0,0,0.001919518,0.000713258,0
0.79030052,0.000970275,0,0,0.000936475,0,0,0,0,0,0,0,0,3.38E-05,0,0,0,0
0.795523614,0.002417382,0.000110882,6.48E-05,0.000835845,0,0,0,0.000538061,0,0,0,0.000129578,0.00038491,0.000288991,0,0,6.43E-05
0.800746708,0.004748345,0,0,0.000735215,0.00016016,0,0.00046111,0,0,0.000648115,0.00083512,0,0.00073602,0,0.000133794,0.000220089,0.000818722
0.805969802,0.00750811,0.000185438,0.000121889,0.000634585,7.13E-05,0.000380389,0.00031684,0.000715348,0,0.000315935,0.00031503,0.000243779,0.00108713,0,0.000840636,0.000706741,0.001573118
0.811192896,0.004270458,0,0,0.000533955,0,0.000244847,0.00017257,0,0,0,0,0,0.00143824,0.000333368,0.001547478,0,0
0.81641599,0.00411214,0.000259995,0.00017899,0.000433325,0,0.000109305,2.83E-05,0.000892635,3.96E-05,0,0,0.00035798,0.00178935,2.26E-05,0,0,0
0.821639084,0.001487135,0,0,0.000332695,0,0,0,4.72E-06,0.000228267,0,0.000707885,0,0,0,0,0.000213572,0
0.826862178,0.004786254,0.000334551,0.00023609,0.000232065,0.000203895,0,0,0,0.000416914,0.00094034,0.000187795,0.000472181,0,0.000377745,0,0.000700224,0.000684452
0.832085272,0.003616606,0,0,0.000131435,0.000114986,0,0,0.000182003,0.000605561,0.00060816,0,0,0,6.70E-05,0.000468596,0,0.001438848
0.837308366,0.004018971,0.000409108,0.000293191,3.08E-05,2.61E-05,0,0.000427782,0,0.000794208,0.00027598,0,0.000586382,0,0,0.001175438,0,0
0.84253146,0.004143067,0,0,0,0,0.000408157,0.000283512,0.00035929,0,0,0.00058065,0,0,0.000422122,0.00188228,0.000207055,0
0.847754554,0.002812058,0.000483665,0.000350292,0,0,0.000272615,0.000139243,0,0,0,6.06E-05,0.000700583,0,0.000111394,0,0.000693707,0
0.852977648,0.001597364,3.27E-05,0,0,0,0.000137073,0,0.000536577,0,0,0,0,0.00034087,0,0,0,0.000550182
0.858200742,0.005815932,0,0.000407392,0,0.000158721,1.53E-06,0,0,0,0.000900385,0.000973505,0.000814784,0.00069198,0.000466499,9.66E-05,0,0.001304578
0.863423836,0.004115311,0.000107218,0,0,6.98E-05,0,0,0.000713864,0,0.000568205,0.000453415,0,0.00104309,0.000155771,0.000803398,0.000200538,0
0.86864693,35345.24741,0,0.000464492,0,0,0,0,0,0,0.000236025,0,0.000928985,35345.24358,0,0.00151024,0.00068719,0
